,Sample,FileName,Wavelength,Intensity,Normalized
20,PCA,PCA_TCEP_try1_20p_25xW08NA_740nm_410_695_8_9nmsteps.lsm,593,2206,0.10584904755050141
21,PCA,PCA_TCEP_try1_20p_25xW08NA_740nm_410_695_8_9nmsteps.lsm,602,1544,0.0740847368168514
22,PCA,PCA_TCEP_try1_20p_25xW08NA_740nm_410_695_8_9nmsteps.lsm,610,1287,0.06175327479487549
23,PCA,PCA_TCEP_try1_20p_25xW08NA_740nm_410_695_8_9nmsteps.lsm,619,998,0.04788637781296483
24,PCA,PCA_TCEP_try1_20p_25xW08NA_740nm_410_695_8_9nmsteps.lsm,628,754,0.036178686243462405
25,PCA,PCA_TCEP_try1_20p_25xW08NA_740nm_410_695_8_9nmsteps.lsm,637,462,0.022167842234057867
26,PCA,PCA_TCEP_try1_20p_25xW08NA_740nm_410_695_8_9nmsteps.lsm,646,309,0.014826543831869873
27,PCA,PCA_TCEP_try1_20p_25xW08NA_740nm_410_695_8_9nmsteps.lsm,655,996,0.04779041312796891
28,PCA,PCA_TCEP_try1_20p_25xW08NA_740nm_410_695_8_9nmsteps.lsm,664,232,0.011131903459526894
29,PCA,PCA_TCEP_try1_20p_25xW08NA_740nm_410_695_8_9nmsteps.lsm,673,10,0.0004798234249796075
30,PCA,PCA_TCEP_try1_20p_25xW08NA_740nm_410_695_8_9nmsteps.lsm,682,2,9.59646849959215e-05
31,PCA,PCA_TCEP_try1_20p_25xW08NA_740nm_410_695_8_9nmsteps.lsm,691,28,0.001343505589942901
0,PCA,Old_PCA_TCEP_10p_25xW08NA_740nm_410_695_8_9nmsteps.lsm,415,11,2.24375593320461e-06
1,PCA,Old_PCA_TCEP_10p_25xW08NA_740nm_410_695_8_9nmsteps.lsm,424,55,1.121877966602305e-05
2,PCA,Old_PCA_TCEP_10p_25xW08NA_740nm_410_695_8_9nmsteps.lsm,432,202,4.1203518046121014e-05
3,PCA,Old_PCA_TCEP_10p_25xW08NA_740nm_410_695_8_9nmsteps.lsm,441,542,0.00011055597416335441
4,PCA,Old_PCA_TCEP_10p_25xW08NA_740nm_410_695_8_9nmsteps.lsm,450,1541,0.00031432980846075485
5,PCA,Old_PCA_TCEP_10p_25xW08NA_740nm_410_695_8_9nmsteps.lsm,459,5749,0.001172668441817573
6,PCA,Old_PCA_TCEP_10p_25xW08NA_740nm_410_695_8_9nmsteps.lsm,468,27936,0.005698324159091271
7,PCA,Old_PCA_TCEP_10p_25xW08NA_740nm_410_695_8_9nmsteps.lsm,477,119408,0.024356582588372366
8,PCA,Old_PCA_TCEP_10p_25xW08NA_740nm_410_695_8_9nmsteps.lsm,486,434362,0.08860021042351097
9,PCA,Old_PCA_TCEP_10p_25xW08NA_740nm_410_695_8_9nmsteps.lsm,495,1173297,0.23932655501465172
10,PCA,Old_PCA_TCEP_10p_25xW08NA_740nm_410_695_8_9nmsteps.lsm,504,2610777,0.5325405803658301
11,PCA,Old_PCA_TCEP_10p_25xW08NA_740nm_410_695_8_9nmsteps.lsm,513,4090073,0.8342841419081798
12,PCA,Old_PCA_TCEP_10p_25xW08NA_740nm_410_695_8_9nmsteps.lsm,521,4735337,0.9659036808612106
13,PCA,Old_PCA_TCEP_10p_25xW08NA_740nm_410_695_8_9nmsteps.lsm,530,4881178,0.9956520089570737
14,PCA,Old_PCA_TCEP_10p_25xW08NA_740nm_410_695_8_9nmsteps.lsm,539,4902494,1.0
15,PCA,Old_PCA_TCEP_10p_25xW08NA_740nm_410_695_8_9nmsteps.lsm,548,4697425,0.9581704740485149
16,PCA,Old_PCA_TCEP_10p_25xW08NA_740nm_410_695_8_9nmsteps.lsm,557,4585905,0.9354228684420623
17,PCA,Old_PCA_TCEP_10p_25xW08NA_740nm_410_695_8_9nmsteps.lsm,566,4170965,0.8507843150853422
18,PCA,Old_PCA_TCEP_10p_25xW08NA_740nm_410_695_8_9nmsteps.lsm,575,3580524,0.7303474517255911
19,PCA,Old_PCA_TCEP_10p_25xW08NA_740nm_410_695_8_9nmsteps.lsm,584,3161003,0.6447744760115973
20,PCA,Old_PCA_TCEP_10p_25xW08NA_740nm_410_695_8_9nmsteps.lsm,593,2680255,0.5467125507955747
21,PCA,Old_PCA_TCEP_10p_25xW08NA_740nm_410_695_8_9nmsteps.lsm,602,2235933,0.45608072136345296
22,PCA,Old_PCA_TCEP_10p_25xW08NA_740nm_410_695_8_9nmsteps.lsm,610,1879911,0.38346013274060103
23,PCA,Old_PCA_TCEP_10p_25xW08NA_740nm_410_695_8_9nmsteps.lsm,619,1543818,0.31490461793527946
24,PCA,Old_PCA_TCEP_10p_25xW08NA_740nm_410_695_8_9nmsteps.lsm,628,1236274,0.2521724656878723
25,PCA,Old_PCA_TCEP_10p_25xW08NA_740nm_410_695_8_9nmsteps.lsm,637,999117,0.20379769970141728
26,PCA,Old_PCA_TCEP_10p_25xW08NA_740nm_410_695_8_9nmsteps.lsm,646,789753,0.16109208904692182
27,PCA,Old_PCA_TCEP_10p_25xW08NA_740nm_410_695_8_9nmsteps.lsm,655,660267,0.13467981806810983
28,PCA,Old_PCA_TCEP_10p_25xW08NA_740nm_410_695_8_9nmsteps.lsm,664,486286,0.09919155433948516
29,PCA,Old_PCA_TCEP_10p_25xW08NA_740nm_410_695_8_9nmsteps.lsm,673,76141,0.015531074591830198
30,PCA,Old_PCA_TCEP_10p_25xW08NA_740nm_410_695_8_9nmsteps.lsm,682,47,9.58695716914697e-06
31,PCA,Old_PCA_TCEP_10p_25xW08NA_740nm_410_695_8_9nmsteps.lsm,691,169,3.447225024650718e-05
