,Sample,FileName,Wavelength,Intensity,Normalized
19,Reduced OHPhz,Old_OHPhz_TCEP_10p_25xW08NA_740nm_410_695_8_9nmsteps.lsm,584,1111682,0.7911741764310685
20,Reduced OHPhz,Old_OHPhz_TCEP_10p_25xW08NA_740nm_410_695_8_9nmsteps.lsm,593,949008,0.6754005397465241
21,Reduced OHPhz,Old_OHPhz_TCEP_10p_25xW08NA_740nm_410_695_8_9nmsteps.lsm,602,781641,0.5562869367676698
22,Reduced OHPhz,Old_OHPhz_TCEP_10p_25xW08NA_740nm_410_695_8_9nmsteps.lsm,610,645307,0.4592592434439017
23,Reduced OHPhz,Old_OHPhz_TCEP_10p_25xW08NA_740nm_410_695_8_9nmsteps.lsm,619,536908,0.38211264077249796
24,Reduced OHPhz,Old_OHPhz_TCEP_10p_25xW08NA_740nm_410_695_8_9nmsteps.lsm,628,441939,0.31452404946537765
25,Reduced OHPhz,Old_OHPhz_TCEP_10p_25xW08NA_740nm_410_695_8_9nmsteps.lsm,637,356260,0.2535470684020542
26,Reduced OHPhz,Old_OHPhz_TCEP_10p_25xW08NA_740nm_410_695_8_9nmsteps.lsm,646,275510,0.19607801273073025
27,Reduced OHPhz,Old_OHPhz_TCEP_10p_25xW08NA_740nm_410_695_8_9nmsteps.lsm,655,240905,0.17144994249535978
28,Reduced OHPhz,Old_OHPhz_TCEP_10p_25xW08NA_740nm_410_695_8_9nmsteps.lsm,664,163895,0.11664261150776029
29,Reduced OHPhz,Old_OHPhz_TCEP_10p_25xW08NA_740nm_410_695_8_9nmsteps.lsm,673,11103,0.007901906193420558
30,Reduced OHPhz,Old_OHPhz_TCEP_10p_25xW08NA_740nm_410_695_8_9nmsteps.lsm,682,8,5.693528735239527e-06
31,Reduced OHPhz,Old_OHPhz_TCEP_10p_25xW08NA_740nm_410_695_8_9nmsteps.lsm,691,71,5.05300675252508e-05
0,Free NADH,NADH10mMPBS_6p_42fov_740ex_410_695nm_9step_63xO.lsm,415,357978255,0.23459965827973017
1,Free NADH,NADH10mMPBS_6p_42fov_740ex_410_695nm_9step_63xO.lsm,424,514246702,0.3370095777484535
2,Free NADH,NADH10mMPBS_6p_42fov_740ex_410_695nm_9step_63xO.lsm,432,718831658,0.47108353362818606
3,Free NADH,NADH10mMPBS_6p_42fov_740ex_410_695nm_9step_63xO.lsm,441,928839934,0.6087116411944271
4,Free NADH,NADH10mMPBS_6p_42fov_740ex_410_695nm_9step_63xO.lsm,450,1178938640,0.7726128562662831
5,Free NADH,NADH10mMPBS_6p_42fov_740ex_410_695nm_9step_63xO.lsm,459,1394291032,0.9137432094854262
6,Free NADH,NADH10mMPBS_6p_42fov_740ex_410_695nm_9step_63xO.lsm,468,1525911238,1.0
7,Free NADH,NADH10mMPBS_6p_42fov_740ex_410_695nm_9step_63xO.lsm,477,1507550812,0.9879675661711065
8,Free NADH,NADH10mMPBS_6p_42fov_740ex_410_695nm_9step_63xO.lsm,486,1513844709,0.9920922471114273
9,Free NADH,NADH10mMPBS_6p_42fov_740ex_410_695nm_9step_63xO.lsm,495,1369067750,0.8972132296465858
10,Free NADH,NADH10mMPBS_6p_42fov_740ex_410_695nm_9step_63xO.lsm,504,1460797236,0.9573277918279542
11,Free NADH,NADH10mMPBS_6p_42fov_740ex_410_695nm_9step_63xO.lsm,513,1482678229,0.9716674155590693
12,Free NADH,NADH10mMPBS_6p_42fov_740ex_410_695nm_9step_63xO.lsm,521,1331456413,0.8725647861045506
13,Free NADH,NADH10mMPBS_6p_42fov_740ex_410_695nm_9step_63xO.lsm,530,1097156347,0.7190171483618105
14,Free NADH,NADH10mMPBS_6p_42fov_740ex_410_695nm_9step_63xO.lsm,539,953768332,0.6250483699498123
15,Free NADH,NADH10mMPBS_6p_42fov_740ex_410_695nm_9step_63xO.lsm,548,988433840,0.6477662759044441
16,Free NADH,NADH10mMPBS_6p_42fov_740ex_410_695nm_9step_63xO.lsm,557,745529127,0.48857961618865803
17,Free NADH,NADH10mMPBS_6p_42fov_740ex_410_695nm_9step_63xO.lsm,566,662576862,0.4342171716805981
18,Free NADH,NADH10mMPBS_6p_42fov_740ex_410_695nm_9step_63xO.lsm,575,510116330,0.3343027545092371
19,Free NADH,NADH10mMPBS_6p_42fov_740ex_410_695nm_9step_63xO.lsm,584,482491426,0.31619888102560784
20,Free NADH,NADH10mMPBS_6p_42fov_740ex_410_695nm_9step_63xO.lsm,593,417826142,0.2738207384511051
21,Free NADH,NADH10mMPBS_6p_42fov_740ex_410_695nm_9step_63xO.lsm,602,406379695,0.26631935389154004
22,Free NADH,NADH10mMPBS_6p_42fov_740ex_410_695nm_9step_63xO.lsm,610,323007596,0.21168177280309144
23,Free NADH,NADH10mMPBS_6p_42fov_740ex_410_695nm_9step_63xO.lsm,619,357062665,0.23399962993129225
24,Free NADH,NADH10mMPBS_6p_42fov_740ex_410_695nm_9step_63xO.lsm,628,289897760,0.1899833704481833
25,Free NADH,NADH10mMPBS_6p_42fov_740ex_410_695nm_9step_63xO.lsm,637,281354221,0.1843843953654662
26,Free NADH,NADH10mMPBS_6p_42fov_740ex_410_695nm_9step_63xO.lsm,646,240664004,0.15771821978022552
27,Free NADH,NADH10mMPBS_6p_42fov_740ex_410_695nm_9step_63xO.lsm,655,325395349,0.21324657745262637
28,Free NADH,NADH10mMPBS_6p_42fov_740ex_410_695nm_9step_63xO.lsm,664,204016587,0.13370147746431368
29,Free NADH,NADH10mMPBS_6p_42fov_740ex_410_695nm_9step_63xO.lsm,673,213575055,0.13996558232307874
30,Free NADH,NADH10mMPBS_6p_42fov_740ex_410_695nm_9step_63xO.lsm,682,160486964,0.10517450819115076
31,Free NADH,NADH10mMPBS_6p_42fov_740ex_410_695nm_9step_63xO.lsm,691,255206903,0.16724885212490978
0,Reduced PYO,1000uMPYO-1250uMTCEP-2htogether_15p_133fov_spectral_20xA_740nm_410-695_9nmstep_4usdwell_bidi16bitlinesum.lsm,415,174767064,0.06180243091471752
1,Reduced PYO,1000uMPYO-1250uMTCEP-2htogether_15p_133fov_spectral_20xA_740nm_410-695_9nmstep_4usdwell_bidi16bitlinesum.lsm,424,194883481,0.06891614813030311
2,Reduced PYO,1000uMPYO-1250uMTCEP-2htogether_15p_133fov_spectral_20xA_740nm_410-695_9nmstep_4usdwell_bidi16bitlinesum.lsm,432,223939164,0.07919103517244871
3,Reduced PYO,1000uMPYO-1250uMTCEP-2htogether_15p_133fov_spectral_20xA_740nm_410-695_9nmstep_4usdwell_bidi16bitlinesum.lsm,441,282923650,0.1000495684545271
4,Reduced PYO,1000uMPYO-1250uMTCEP-2htogether_15p_133fov_spectral_20xA_740nm_410-695_9nmstep_4usdwell_bidi16bitlinesum.lsm,450,522063248,0.18461589431766753
5,Reduced PYO,1000uMPYO-1250uMTCEP-2htogether_15p_133fov_spectral_20xA_740nm_410-695_9nmstep_4usdwell_bidi16bitlinesum.lsm,459,771729379,0.2729046911865805
6,Reduced PYO,1000uMPYO-1250uMTCEP-2htogether_15p_133fov_spectral_20xA_740nm_410-695_9nmstep_4usdwell_bidi16bitlinesum.lsm,468,1155102016,0.4084757786129023
7,Reduced PYO,1000uMPYO-1250uMTCEP-2htogether_15p_133fov_spectral_20xA_740nm_410-695_9nmstep_4usdwell_bidi16bitlinesum.lsm,477,1516080619,0.5361277209353913
8,Reduced PYO,1000uMPYO-1250uMTCEP-2htogether_15p_133fov_spectral_20xA_740nm_410-695_9nmstep_4usdwell_bidi16bitlinesum.lsm,486,1941851705,0.6866920636996506
9,Reduced PYO,1000uMPYO-1250uMTCEP-2htogether_15p_133fov_spectral_20xA_740nm_410-695_9nmstep_4usdwell_bidi16bitlinesum.lsm,495,2087339089,0.738140396084653
10,Reduced PYO,1000uMPYO-1250uMTCEP-2htogether_15p_133fov_spectral_20xA_740nm_410-695_9nmstep_4usdwell_bidi16bitlinesum.lsm,504,2457956683,0.8692009502000659
11,Reduced PYO,1000uMPYO-1250uMTCEP-2htogether_15p_133fov_spectral_20xA_740nm_410-695_9nmstep_4usdwell_bidi16bitlinesum.lsm,513,2762885544,0.9770321652730387
12,Reduced PYO,1000uMPYO-1250uMTCEP-2htogether_15p_133fov_spectral_20xA_740nm_410-695_9nmstep_4usdwell_bidi16bitlinesum.lsm,521,2827834786,1.0
13,Reduced PYO,1000uMPYO-1250uMTCEP-2htogether_15p_133fov_spectral_20xA_740nm_410-695_9nmstep_4usdwell_bidi16bitlinesum.lsm,530,2795877526,0.9886990356868748
14,Reduced PYO,1000uMPYO-1250uMTCEP-2htogether_15p_133fov_spectral_20xA_740nm_410-695_9nmstep_4usdwell_bidi16bitlinesum.lsm,539,2740005089,0.9689410083521053
15,Reduced PYO,1000uMPYO-1250uMTCEP-2htogether_15p_133fov_spectral_20xA_740nm_410-695_9nmstep_4usdwell_bidi16bitlinesum.lsm,548,2695506800,0.9532051919528229
16,Reduced PYO,1000uMPYO-1250uMTCEP-2htogether_15p_133fov_spectral_20xA_740nm_410-695_9nmstep_4usdwell_bidi16bitlinesum.lsm,557,2472691037,0.8744114222095859
17,Reduced PYO,1000uMPYO-1250uMTCEP-2htogether_15p_133fov_spectral_20xA_740nm_410-695_9nmstep_4usdwell_bidi16bitlinesum.lsm,566,2333683320,0.8252544779325732
18,Reduced PYO,1000uMPYO-1250uMTCEP-2htogether_15p_133fov_spectral_20xA_740nm_410-695_9nmstep_4usdwell_bidi16bitlinesum.lsm,575,2079357808,0.7353179960492925
19,Reduced PYO,1000uMPYO-1250uMTCEP-2htogether_15p_133fov_spectral_20xA_740nm_410-695_9nmstep_4usdwell_bidi16bitlinesum.lsm,584,1949028255,0.6892298887647957
20,Reduced PYO,1000uMPYO-1250uMTCEP-2htogether_15p_133fov_spectral_20xA_740nm_410-695_9nmstep_4usdwell_bidi16bitlinesum.lsm,593,1752975322,0.6199001903076525
21,Reduced PYO,1000uMPYO-1250uMTCEP-2htogether_15p_133fov_spectral_20xA_740nm_410-695_9nmstep_4usdwell_bidi16bitlinesum.lsm,602,1537864530,0.5438311097994959
22,Reduced PYO,1000uMPYO-1250uMTCEP-2htogether_15p_133fov_spectral_20xA_740nm_410-695_9nmstep_4usdwell_bidi16bitlinesum.lsm,610,1340855079,0.47416316032262007
23,Reduced PYO,1000uMPYO-1250uMTCEP-2htogether_15p_133fov_spectral_20xA_740nm_410-695_9nmstep_4usdwell_bidi16bitlinesum.lsm,619,1237385806,0.4375735853190682
24,Reduced PYO,1000uMPYO-1250uMTCEP-2htogether_15p_133fov_spectral_20xA_740nm_410-695_9nmstep_4usdwell_bidi16bitlinesum.lsm,628,1035751681,0.36627022417567784
25,Reduced PYO,1000uMPYO-1250uMTCEP-2htogether_15p_133fov_spectral_20xA_740nm_410-695_9nmstep_4usdwell_bidi16bitlinesum.lsm,637,903803720,0.3196098033995965
26,Reduced PYO,1000uMPYO-1250uMTCEP-2htogether_15p_133fov_spectral_20xA_740nm_410-695_9nmstep_4usdwell_bidi16bitlinesum.lsm,646,771442660,0.27280329947818954
27,Reduced PYO,1000uMPYO-1250uMTCEP-2htogether_15p_133fov_spectral_20xA_740nm_410-695_9nmstep_4usdwell_bidi16bitlinesum.lsm,655,748331795,0.26463066325685974
28,Reduced PYO,1000uMPYO-1250uMTCEP-2htogether_15p_133fov_spectral_20xA_740nm_410-695_9nmstep_4usdwell_bidi16bitlinesum.lsm,664,563774655,0.19936619274616987
29,Reduced PYO,1000uMPYO-1250uMTCEP-2htogether_15p_133fov_spectral_20xA_740nm_410-695_9nmstep_4usdwell_bidi16bitlinesum.lsm,673,270496610,0.09565502600759081
30,Reduced PYO,1000uMPYO-1250uMTCEP-2htogether_15p_133fov_spectral_20xA_740nm_410-695_9nmstep_4usdwell_bidi16bitlinesum.lsm,682,173962459,0.061517900501560634
31,Reduced PYO,1000uMPYO-1250uMTCEP-2htogether_15p_133fov_spectral_20xA_740nm_410-695_9nmstep_4usdwell_bidi16bitlinesum.lsm,691,262727924,0.09290780539963271
0,CPX,CPX500uMPBS_6p_42fov_740ex_410_695nm_9step_63xO.lsm,415,164893767,0.1856484328751939
1,CPX,CPX500uMPBS_6p_42fov_740ex_410_695nm_9step_63xO.lsm,424,155543602,0.17512139167190519
2,CPX,CPX500uMPBS_6p_42fov_740ex_410_695nm_9step_63xO.lsm,432,146418894,0.1648481850403668
3,CPX,CPX500uMPBS_6p_42fov_740ex_410_695nm_9step_63xO.lsm,441,125208290,0.14096786824866953
4,CPX,CPX500uMPBS_6p_42fov_740ex_410_695nm_9step_63xO.lsm,450,195383746,0.21997609075293265
5,CPX,CPX500uMPBS_6p_42fov_740ex_410_695nm_9step_63xO.lsm,459,188583121,0.21231949222412433
6,CPX,CPX500uMPBS_6p_42fov_740ex_410_695nm_9step_63xO.lsm,468,180173595,0.2028514853277618
7,CPX,CPX500uMPBS_6p_42fov_740ex_410_695nm_9step_63xO.lsm,477,158311957,0.17823819091024273
8,CPX,CPX500uMPBS_6p_42fov_740ex_410_695nm_9step_63xO.lsm,486,193599578,0.21796735507291107
9,CPX,CPX500uMPBS_6p_42fov_740ex_410_695nm_9step_63xO.lsm,495,85862827,0.09667011412738169
10,CPX,CPX500uMPBS_6p_42fov_740ex_410_695nm_9step_63xO.lsm,504,204758799,0.2305311525314163
11,CPX,CPX500uMPBS_6p_42fov_740ex_410_695nm_9step_63xO.lsm,513,275984652,0.31072198224087966
