object,mean_s1,mean_g1,lifetime
Free NADH,0.163159395646858,0.961422721383153,unknown
OHPhz (Reduced),0.296922788904426,0.135973724021586,unknown
PVD,0.359182871829451,0.172837954274813,unknown
PYO (Reduced),0.105446222268889,0.0227298415663054,unknown
