,FileName,Wavelength,Intensity,Normalized
18,PHZox_850um_20x08na15p740nm_spect410_687_9nmst.lsm,575,65,0.010694307337940112
19,PHZox_850um_20x08na15p740nm_spect410_687_9nmst.lsm,584,105,0.017275419545903257
20,PHZox_850um_20x08na15p740nm_spect410_687_9nmst.lsm,593,88,0.014478446857518921
21,PHZox_850um_20x08na15p740nm_spect410_687_9nmst.lsm,602,99,0.016288252714708785
22,PHZox_850um_20x08na15p740nm_spect410_687_9nmst.lsm,610,142,0.023362948338269168
23,PHZox_850um_20x08na15p740nm_spect410_687_9nmst.lsm,619,236,0.03882856202698256
24,PHZox_850um_20x08na15p740nm_spect410_687_9nmst.lsm,628,386,0.06350773280684435
25,PHZox_850um_20x08na15p740nm_spect410_687_9nmst.lsm,637,408,0.06712734452122408
26,PHZox_850um_20x08na15p740nm_spect410_687_9nmst.lsm,646,677,0.11138532411977624
27,PHZox_850um_20x08na15p740nm_spect410_687_9nmst.lsm,655,1658,0.27278710102007236
28,PHZox_850um_20x08na15p740nm_spect410_687_9nmst.lsm,664,2058,0.33859822309970383
29,PHZox_850um_20x08na15p740nm_spect410_687_9nmst.lsm,673,4672,0.7686739058900954
30,PHZox_850um_20x08na15p740nm_spect410_687_9nmst.lsm,682,6078,1.0
0,500umOhPhz_125mmTCEP_slide_spectral_25x08naW_740nmex_20p.lsm,415,2,3.567606136282554e-05
1,500umOhPhz_125mmTCEP_slide_spectral_25x08naW_740nmex_20p.lsm,424,8,0.00014270424545130217
2,500umOhPhz_125mmTCEP_slide_spectral_25x08naW_740nmex_20p.lsm,432,29,0.0005173028897609704
3,500umOhPhz_125mmTCEP_slide_spectral_25x08naW_740nmex_20p.lsm,441,147,0.0026221905101676776
4,500umOhPhz_125mmTCEP_slide_spectral_25x08naW_740nmex_20p.lsm,450,565,0.010078487334998215
5,500umOhPhz_125mmTCEP_slide_spectral_25x08naW_740nmex_20p.lsm,459,1605,0.0286300392436675
6,500umOhPhz_125mmTCEP_slide_spectral_25x08naW_740nmex_20p.lsm,468,4595,0.08196575098109168
